# dcmpfile x y sim_mag mag_gal mag_gal_GLADE GLADE_gal_id detmag detmagerr snr
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3288.21 537.75 18.725 -99.000 -99.000 -99 18.745 0.020 54.009
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3535.29 534.18 18.973 -99.000 -99.000 -99 19.015 0.026 41.209
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 114.94 1286.36 22.739 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1204.91 465.23 18.359 -99.000 -99.000 -99 18.358 0.013 83.803
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1710.83 2332.78 18.020 -99.000 -99.000 -99 18.016 0.010 112.403
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 848.19 2716.32 24.481 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 873.38 2224.07 18.458 -99.000 -99.000 -99 18.468 0.016 66.143
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1489.31 3100.41 24.608 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2996.94 2459.26 20.726 -99.000 -99.000 -99 20.710 0.131 8.312
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2777.12 3125.32 21.169 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1717.45 2087.86 24.515 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3472.69 1612.09 18.640 -99.000 -99.000 -99 18.658 0.018 58.897
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1380.83 3985.12 18.738 -99.000 -99.000 -99 18.761 0.021 52.804
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 662.78 449.83 23.854 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 962.95 3623.04 22.824 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3184.87 1546.33 20.048 -99.000 -99.000 -99 20.126 0.075 14.504
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2274.21 2879.96 23.056 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1944.03 2571.21 19.458 -99.000 -99.000 -99 19.462 0.038 28.340
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1410.17 2908.59 22.526 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 608.97 2962.19 24.789 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1146.15 1999.30 24.512 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1807.03 1185.99 20.811 -99.000 -99.000 -99 20.892 0.154 7.036
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1169.81 3708.52 23.023 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 555.10 2848.60 24.201 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1609.08 3076.55 21.468 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3332.96 3452.49 21.603 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1491.85 1405.18 20.628 -99.000 -99.000 -99 20.736 0.126 8.595
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3582.28 2453.00 18.272 -99.000 -99.000 -99 18.268 0.013 81.394
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3272.87 3914.37 21.783 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3611.05 1858.84 18.546 -99.000 -99.000 -99 18.541 0.015 71.586
