# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: x
#   datatype: int32
# - name: y
#   datatype: int32
# schema: astropy-2.0
sexcat_id x y
259 3160 927
259 3161 927
259 3162 927
259 3163 927
259 3164 927
259 3165 927
259 3166 927
259 3167 927
259 3168 927
259 3169 927
259 3170 927
259 3137 928
259 3138 928
259 3139 928
259 3140 928
259 3141 928
259 3142 928
259 3143 928
259 3144 928
259 3145 928
259 3146 928
259 3147 928
259 3148 928
259 3149 928
259 3150 928
259 3151 928
259 3152 928
259 3153 928
259 3154 928
259 3155 928
259 3156 928
259 3157 928
259 3158 928
259 3159 928
259 3160 928
259 3161 928
259 3162 928
259 3163 928
259 3164 928
259 3165 928
259 3166 928
259 3167 928
259 3168 928
259 3169 928
259 3138 929
259 3139 929
259 3140 929
259 3141 929
259 3142 929
259 3143 929
259 3144 929
259 3145 929
259 3146 929
259 3147 929
259 3148 929
259 3149 929
259 3150 929
259 3151 929
259 3152 929
259 3153 929
259 3154 929
259 3155 929
259 3156 929
259 3157 929
259 3158 929
259 3159 929
259 3160 929
259 3161 929
259 3162 929
259 3163 929
259 3164 929
259 3165 929
259 3166 929
259 3167 929
259 3168 929
259 3139 930
259 3140 930
259 3141 930
259 3142 930
259 3143 930
259 3144 930
259 3145 930
259 3146 930
259 3147 930
259 3148 930
259 3149 930
259 3150 930
259 3151 930
259 3152 930
259 3153 930
259 3154 930
259 3155 930
259 3156 930
259 3157 930
259 3158 930
259 3159 930
259 3160 930
259 3161 930
259 3162 930
259 3163 930
259 3164 930
259 3165 930
259 3166 930
259 3167 930
259 3168 930
259 3140 931
259 3141 931
259 3142 931
259 3143 931
259 3144 931
259 3145 931
259 3146 931
259 3147 931
259 3148 931
259 3149 931
259 3150 931
259 3151 931
259 3152 931
259 3153 931
259 3154 931
259 3155 931
259 3156 931
259 3157 931
259 3158 931
259 3159 931
259 3160 931
259 3161 931
259 3162 931
259 3163 931
259 3164 931
259 3165 931
259 3166 931
259 3167 931
259 3142 932
259 3143 932
259 3144 932
259 3145 932
259 3146 932
259 3147 932
259 3148 932
259 3149 932
259 3150 932
259 3151 932
259 3152 932
259 3153 932
259 3154 932
259 3155 932
259 3156 932
259 3157 932
259 3158 932
259 3159 932
259 3160 932
259 3161 932
259 3162 932
259 3163 932
259 3164 932
259 3165 932
259 3166 932
259 3143 933
259 3144 933
259 3145 933
259 3146 933
259 3147 933
259 3148 933
259 3149 933
259 3150 933
259 3151 933
259 3152 933
259 3153 933
259 3154 933
259 3155 933
259 3156 933
259 3157 933
259 3158 933
259 3159 933
259 3160 933
259 3161 933
259 3162 933
259 3163 933
259 3164 933
259 3165 933
259 3166 933
259 3148 934
259 3149 934
259 3150 934
259 3151 934
259 3152 934
259 3153 934
259 3154 934
259 3155 934
259 3156 934
259 3157 934
259 3158 934
259 3159 934
259 3160 934
259 3161 934
259 3162 934
259 3163 934
259 3164 934
259 3165 934
259 3166 934
259 3167 934
259 3149 935
259 3150 935
259 3151 935
259 3152 935
259 3153 935
259 3154 935
259 3157 935
259 3158 935
259 3159 935
259 3160 935
259 3161 935
259 3162 935
259 3163 935
259 3164 935
259 3165 935
259 3166 935
259 3167 935
259 3150 936
259 3151 936
259 3152 936
259 3159 936
259 3160 936
259 3161 936
259 3162 936
259 3163 936
259 3164 936
259 3165 936
259 3166 936
259 3150 937
259 3151 937
259 3160 937
259 3161 937
259 3162 937
259 3163 937
259 3161 938
259 3162 938
259 3161 939
259 3162 939
356 3742 1063
356 3743 1063
356 3744 1063
356 3745 1063
356 3746 1063
356 3747 1063
356 3741 1064
356 3742 1064
356 3743 1064
356 3744 1064
356 3745 1064
356 3746 1064
356 3747 1064
356 3740 1065
356 3741 1065
356 3742 1065
356 3743 1065
356 3744 1065
356 3745 1065
356 3746 1065
356 3747 1065
356 3748 1065
356 3738 1066
356 3739 1066
356 3740 1066
356 3741 1066
356 3742 1066
356 3743 1066
356 3744 1066
356 3745 1066
356 3746 1066
356 3747 1066
356 3748 1066
356 3737 1067
356 3738 1067
356 3739 1067
356 3740 1067
356 3741 1067
356 3742 1067
356 3743 1067
356 3744 1067
356 3745 1067
356 3746 1067
356 3747 1067
356 3736 1068
356 3737 1068
356 3738 1068
356 3739 1068
356 3740 1068
356 3741 1068
356 3742 1068
356 3743 1068
356 3744 1068
356 3745 1068
356 3746 1068
356 3747 1068
356 3735 1069
356 3736 1069
356 3737 1069
356 3738 1069
356 3739 1069
356 3740 1069
356 3741 1069
356 3742 1069
356 3743 1069
356 3744 1069
356 3745 1069
356 3746 1069
356 3734 1070
356 3735 1070
356 3736 1070
356 3737 1070
356 3738 1070
356 3739 1070
356 3740 1070
356 3741 1070
356 3742 1070
356 3743 1070
356 3744 1070
356 3745 1070
356 3746 1070
356 3734 1071
356 3735 1071
356 3736 1071
356 3737 1071
356 3738 1071
356 3739 1071
356 3740 1071
356 3741 1071
356 3742 1071
356 3743 1071
356 3744 1071
356 3745 1071
356 3733 1072
356 3734 1072
356 3735 1072
356 3736 1072
356 3737 1072
356 3738 1072
356 3739 1072
356 3740 1072
356 3741 1072
356 3742 1072
356 3743 1072
356 3744 1072
356 3732 1073
356 3733 1073
356 3734 1073
356 3735 1073
356 3736 1073
356 3737 1073
356 3738 1073
356 3739 1073
356 3740 1073
356 3741 1073
356 3742 1073
356 3743 1073
356 3744 1073
356 3731 1074
356 3732 1074
356 3733 1074
356 3734 1074
356 3735 1074
356 3736 1074
356 3737 1074
356 3738 1074
356 3739 1074
356 3740 1074
356 3741 1074
356 3742 1074
356 3743 1074
356 3730 1075
356 3731 1075
356 3732 1075
356 3733 1075
356 3734 1075
356 3735 1075
356 3736 1075
356 3737 1075
356 3738 1075
356 3739 1075
356 3740 1075
356 3741 1075
356 3742 1075
356 3730 1076
356 3731 1076
356 3732 1076
356 3733 1076
356 3734 1076
356 3735 1076
356 3736 1076
356 3737 1076
356 3738 1076
356 3739 1076
356 3740 1076
356 3741 1076
356 3742 1076
356 3729 1077
356 3730 1077
356 3731 1077
356 3732 1077
356 3733 1077
356 3734 1077
356 3735 1077
356 3736 1077
356 3737 1077
356 3738 1077
356 3739 1077
356 3740 1077
356 3741 1077
356 3728 1078
356 3729 1078
356 3730 1078
356 3731 1078
356 3732 1078
356 3733 1078
356 3734 1078
356 3735 1078
356 3736 1078
356 3737 1078
356 3738 1078
356 3739 1078
356 3740 1078
356 3728 1079
356 3729 1079
356 3730 1079
356 3731 1079
356 3732 1079
356 3733 1079
356 3734 1079
356 3735 1079
356 3736 1079
356 3737 1079
356 3738 1079
356 3739 1079
356 3727 1080
356 3728 1080
356 3729 1080
356 3730 1080
356 3731 1080
356 3732 1080
356 3733 1080
356 3734 1080
356 3735 1080
356 3736 1080
356 3737 1080
356 3726 1081
356 3727 1081
356 3728 1081
356 3729 1081
356 3730 1081
356 3731 1081
356 3732 1081
356 3733 1081
356 3734 1081
356 3735 1081
356 3736 1081
356 3725 1082
356 3726 1082
356 3727 1082
356 3728 1082
356 3729 1082
356 3730 1082
356 3731 1082
356 3732 1082
356 3733 1082
356 3734 1082
356 3725 1083
356 3726 1083
356 3727 1083
356 3728 1083
356 3729 1083
356 3730 1083
356 3731 1083
356 3732 1083
356 3725 1084
356 3726 1084
356 3727 1084
356 3728 1084
356 3729 1084
356 3730 1084
356 3731 1084
356 3725 1085
356 3726 1085
356 3727 1085
356 3728 1085
356 3729 1085
356 3730 1085
1766 2911 4058
1766 2912 4058
1766 2913 4058
1766 2914 4058
1766 2915 4058
1766 2916 4058
1766 2917 4058
1766 2918 4058
1766 2919 4058
1766 2910 4059
1766 2911 4059
1766 2912 4059
1766 2913 4059
1766 2914 4059
1766 2915 4059
1766 2916 4059
1766 2917 4059
1766 2918 4059
1766 2919 4059
1766 2920 4059
1766 2909 4060
1766 2910 4060
1766 2911 4060
1766 2912 4060
1766 2913 4060
1766 2914 4060
1766 2915 4060
1766 2916 4060
1766 2917 4060
1766 2918 4060
1766 2919 4060
1766 2920 4060
1766 2921 4060
1766 2908 4061
1766 2909 4061
1766 2910 4061
1766 2911 4061
1766 2912 4061
1766 2913 4061
1766 2914 4061
1766 2915 4061
1766 2916 4061
1766 2917 4061
1766 2918 4061
1766 2919 4061
1766 2920 4061
1766 2921 4061
1766 2908 4062
1766 2909 4062
1766 2910 4062
1766 2911 4062
1766 2912 4062
1766 2913 4062
1766 2914 4062
1766 2915 4062
1766 2916 4062
1766 2917 4062
1766 2918 4062
1766 2919 4062
1766 2920 4062
1766 2921 4062
1766 2909 4063
1766 2910 4063
1766 2911 4063
1766 2912 4063
1766 2913 4063
1766 2914 4063
1766 2915 4063
1766 2916 4063
1766 2917 4063
1766 2918 4063
1766 2919 4063
1766 2920 4063
1766 2921 4063
1766 2909 4064
1766 2910 4064
1766 2911 4064
