# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae15411.i.ut190603.4083_stch_1.sw.dcmp, DB ID=5124, Field
#       Name=s005aae15411, RA (deg)=241.1914, Dec (deg)=17.8576, MJD=58638.14853, Exp
#       Time (sec)=360.0, Lim Mag=22.0538, Instrument=SWOPE, E(B-V)=0.0813019755185,
#     Filter=SDSS i, A_lambda=0.138050754430413, Net 2D Prob=1.095658738192e-05, Redistributed
#       2D Prob=0.0, Net 4D Prob=0.0003255693251477394, Weighted Mean Pixel Comp=1.0,
#     Weighted Mean Pixel Dist=175.501294368]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
19688 241.164734 17.70089 None None NGC6042 16043953+1742032 None 3.62482374653e-06 0.031091 130.327681271 3.1278643505 14.75 11.184
22398 241.255737 17.775522 None None NGC6043 16050137+1746318 None 1.63765942556e-06 0.029451 123.3016062 2.95923854879 14.964 11.288
53153 241.120132 17.648664 None None 56945 16042883+1738551 None 6.03597523953e-06 0.03881 163.620894844 3.92690147625 16.512 12.686
62397 241.204086 17.644218 None None 57000 16044898+1738391 None 4.68528155666e-07 0.03109 130.323391993 3.12776140784 16.971 13.504
62621 241.333954 17.746887 None None 1540575 16052014+1744487 None 7.18439262027e-07 0.0356643178322 150.00867544 3.60020821056 18.02 14.467
65874 241.178436 17.638666 None None 84715 16044282+1738191 None 9.46162021145e-06 0.042882 181.331906128 4.35196574706 16.467 12.733
69733 241.175812 17.683666 None None 1538875 16044219+1741011 None 1.46880440736e-06 0.033559 140.932496658 3.3823799198 16.6 12.926
69735 241.214066 17.684954 None None 1538912 16045137+1741058 None 3.28239836925e-06 0.044388 187.907944768 4.50979067444 17.454 13.855
69740 241.111084 17.698662 None None 1539264 16042666+1741551 None 4.9253741428e-07 0.0340996070498 143.260479362 3.43825150469 17.96 14.369
69751 241.343292 17.742725 None None 1540468 16052239+1744338 None 2.19861333699e-06 0.0376347488174 158.528131168 3.80467514802 17.33 14.167
69752 241.238251 17.744406 None None 1540509 16045718+1744398 None 3.60555996307e-06 0.045758 193.902178273 4.65365227855 17.169 13.84
85187 241.293076 17.758305 None None 84720 16051033+1745298 None 1.39702683334e-06 0.0315922057961 132.478272344 3.17947853625 15.972 13.929
125867 241.258667 17.744133 None None 1540505 16050208+1744388 None 9.77518608951e-07 0.0355049277525 149.320575283 3.58369380679 17.64 14.1
137117 241.13208 17.721445 None None IC1170 16043169+1743172 None 5.17792867222e-07 0.032602096301 136.816273985 3.28359057563 17.41 12.094
268199 241.26944 17.795801 None None SDSSJ160504.67+174744.7 16050466+1747448 None 4.64062315611e-07 0.0358247579124 150.701466884 3.61683520522 18.54 14.601
305818 241.146 17.71739 None None 56960 None None 5.34316946375e-06 0.0383145191573 161.472771069 3.87534650567 16.53 nan
334301 241.164 17.61625 None None 1537110 None None 7.66284530218e-07 0.0356643178322 150.00867544 3.60020821056 17.95 nan
334316 241.088 17.68116 None None 1538798 None None 1.84738999944e-06 0.0417114808557 176.230357351 4.22952857642 18.34 nan
334319 241.101 17.68873 None None 1539014 None None 2.25849191612e-07 0.032455936228 136.188049936 3.26851319845 18.26 nan
334320 241.157 17.6895 None None 1539032 None None 5.95570061569e-08 0.0293972846986 123.071761973 2.95372228736 18.54 nan
334328 241.234 17.72654 None None 1540022 None None 7.96163963342e-07 0.0368012584006 154.921488492 3.7181157238 18.22 nan
334350 241.253 17.77357 None None 1541265 None None 3.74159789891e-07 0.0314502457251 131.868987095 3.16485569028 17.35 nan
344796 241.144 17.71342 None None 3098103 None None 6.3743987332e-07 0.0340996070498 143.260479362 3.43825150469 17.68 nan
361002 241.041 17.75683 None None SDSSJ160409.86+174524.5 None None 2.92795420278e-07 0.0350303275152 147.272615588 3.5345427741 18.81 nan
378616 241.161 17.60979 None None SDSSJ160438.57+173634.9 None None 4.15339775595e-07 0.0327488863744 137.447339028 3.29873613667 17.7 nan
378617 241.178 17.76492 None None SDSSJ160442.70+174553.7 None None 2.62327669999e-07 0.0317345858673 133.089485683 3.19414765638 17.84 nan
397402 241.314 17.72411 None None SDSSJ160515.46+174326.7 None None 1.67341798377e-07 0.0318775959388 133.703529977 3.20888471945 18.38 nan
478085 241.157745 17.835892 None None 84714 16043785+1750092 None 1.35791362768e-08 0.066186 284.63207691 6.83116984583 15.865 12.37
495371 241.166794 17.80978 None None 1542301 16044003+1748352 None 1.37267831192e-14 0.083848 365.088008695 8.76211220869 16.761 13.105
621259 241.090652 17.761992 None None 1540978 16042175+1745431 None 2.98291334137e-18 0.090916 397.798943753 9.54717465007 18.207 13.868
1224036 241.085 17.79753 None None 1541954 None None 0.0 0.116189488095 517.125156344 12.4110037523 18.49 nan
1418130 241.196 17.77829 None None SDSSJ160446.99+174641.6 None None 0.0 0.1062006231 469.526633878 11.2686392131 18.66 nan
